kind	id	required_case_ids
library	pdf-metadata-callback-context	library:pdf-metadata-callback-context:complete,library:pdf-metadata-callback-context:late-detection,library:pdf-metadata-callback-context:fault
library	arj-header-status-declaration	library:arj-header-status-declaration:complete,library:arj-header-status-declaration:late-detection,library:arj-header-status-declaration:fault
library	arj-open-read-status	library:arj-open-read-status:complete,library:arj-open-read-status:late-detection,library:arj-open-read-status:fault
library	internal-declaration-egg	library:internal-declaration-egg:complete,library:internal-declaration-egg:late-detection,library:internal-declaration-egg:fault
library	internal-declaration-scan-report	library:internal-declaration-scan-report:complete,library:internal-declaration-scan-report:late-detection,library:internal-declaration-scan-report:fault
library	mbox-spool-line-read-integrity	library:mbox-spool-line-read-integrity:complete,library:mbox-spool-line-read-integrity:late-detection,library:mbox-spool-line-read-integrity:fault
library	mbox-multipart-limit-status	library:mbox-multipart-limit-status:complete,library:mbox-multipart-limit-status:late-detection,library:mbox-multipart-limit-status:fault
library	scan-deadline-initialization	library:scan-deadline-initialization:complete,library:scan-deadline-initialization:late-detection,library:scan-deadline-initialization:fault
library	xar-checksum-declaration-admission	library:xar-checksum-declaration-admission:complete,library:xar-checksum-declaration-admission:late-detection,library:xar-checksum-declaration-admission:fault
library	fileblob-deferred-context-scan	library:fileblob-deferred-context-scan:complete,library:fileblob-deferred-context-scan:late-detection,library:fileblob-deferred-context-scan:fault
library	pe-header-offset-arithmetic	library:pe-header-offset-arithmetic:complete,library:pe-header-offset-arithmetic:late-detection,library:pe-header-offset-arithmetic:fault
library	pe-relative-window-offset-admission	library:pe-relative-window-offset-admission:complete,library:pe-relative-window-offset-admission:late-detection,library:pe-relative-window-offset-admission:fault
library	pdf-legacy-asciihex-end-marker	library:pdf-legacy-asciihex-end-marker:complete,library:pdf-legacy-asciihex-end-marker:late-detection,library:pdf-legacy-asciihex-end-marker:fault
library	pdf-asciihex-end-marker	library:pdf-asciihex-end-marker:complete,library:pdf-asciihex-end-marker:late-detection,library:pdf-asciihex-end-marker:fault
library	7z-bcj2-input-read-status	library:7z-bcj2-input-read-status:complete,library:7z-bcj2-input-read-status:late-detection,library:7z-bcj2-input-read-status:fault
library	mspack-decoder-allocation-status	library:mspack-decoder-allocation-status:complete,library:mspack-decoder-allocation-status:late-detection,library:mspack-decoder-allocation-status:fault
library	swf-cws-zlib-decoder-finalization	library:swf-cws-zlib-decoder-finalization:complete,library:swf-cws-zlib-decoder-finalization:late-detection,library:swf-cws-zlib-decoder-finalization:fault
library	base64-encoder-admission	library:base64-encoder-admission:complete,library:base64-encoder-admission:late-detection,library:base64-encoder-admission:fault
library	gzip-decoder-finalization	library:gzip-decoder-finalization:complete,library:gzip-decoder-finalization:late-detection,library:gzip-decoder-finalization:fault
library	bzip2-scanner-finalization	library:bzip2-scanner-finalization:complete,library:bzip2-scanner-finalization:late-detection,library:bzip2-scanner-finalization:fault
library	zip-bzip2-finalization	library:zip-bzip2-finalization:complete,library:zip-bzip2-finalization:late-detection,library:zip-bzip2-finalization:fault
library	zip-inflate-finalization	library:zip-inflate-finalization:complete,library:zip-inflate-finalization:late-detection,library:zip-inflate-finalization:fault
library	egg-stream-decoder-finalization	library:egg-stream-decoder-finalization:complete,library:egg-stream-decoder-finalization:late-detection,library:egg-stream-decoder-finalization:fault
library	pdf-flate-decoder-finalization	library:pdf-flate-decoder-finalization:complete,library:pdf-flate-decoder-finalization:late-detection,library:pdf-flate-decoder-finalization:fault
library	ppt-compressed-decoder-finalization	library:ppt-compressed-decoder-finalization:complete,library:ppt-compressed-decoder-finalization:late-detection,library:ppt-compressed-decoder-finalization:fault
library	dmg-adc-bzip-finalization	library:dmg-adc-bzip-finalization:complete,library:dmg-adc-bzip-finalization:late-detection,library:dmg-adc-bzip-finalization:fault
library	dmg-deflate-decoder-finalization	library:dmg-deflate-decoder-finalization:complete,library:dmg-deflate-decoder-finalization:late-detection,library:dmg-deflate-decoder-finalization:fault
library	lzma-wrapper-progress	library:lzma-wrapper-progress:complete,library:lzma-wrapper-progress:late-detection,library:lzma-wrapper-progress:fault
library	mspack-extraction-limit-status	library:mspack-extraction-limit-status:complete,library:mspack-extraction-limit-status:late-detection,library:mspack-extraction-limit-status:fault
library	7z-copy-input-progress	library:7z-copy-input-progress:complete,library:7z-copy-input-progress:late-detection,library:7z-copy-input-progress:fault
library	7z-decoder-input-progress	library:7z-decoder-input-progress:complete,library:7z-decoder-input-progress:late-detection,library:7z-decoder-input-progress:fault
library	scanfile-path-conversion-cleanup	library:scanfile-path-conversion-cleanup:complete,library:scanfile-path-conversion-cleanup:late-detection,library:scanfile-path-conversion-cleanup:fault
library	udf-anchor-main-sequence-deadline	library:udf-anchor-main-sequence-deadline:complete,library:udf-anchor-main-sequence-deadline:late-detection,library:udf-anchor-main-sequence-deadline:fault
library	root-metadata-initial-record-failure	library:root-metadata-initial-record-failure:complete,library:root-metadata-initial-record-failure:late-detection,library:root-metadata-initial-record-failure:fault
library	root-hash-metadata-record-failure	library:root-hash-metadata-record-failure:complete,library:root-hash-metadata-record-failure:late-detection,library:root-hash-metadata-record-failure:fault
library	root-metadata-preclass-serialization-failure	library:root-metadata-preclass-serialization-failure:complete,library:root-metadata-preclass-serialization-failure:late-detection,library:root-metadata-preclass-serialization-failure:fault
library	scan-metadata-serialization-failure	library:scan-metadata-serialization-failure:complete,library:scan-metadata-serialization-failure:late-detection,library:scan-metadata-serialization-failure:fault
library	root-file-type-metadata-record-failure	library:root-file-type-metadata-record-failure:complete,library:root-file-type-metadata-record-failure:late-detection,library:root-file-type-metadata-record-failure:fault
library	image-fuzzy-hash-metadata-record-failure	library:image-fuzzy-hash-metadata-record-failure:complete,library:image-fuzzy-hash-metadata-record-failure:late-detection,library:image-fuzzy-hash-metadata-record-failure:fault
library	json-api-array-add-failure	library:json-api-array-add-failure:complete,library:json-api-array-add-failure:late-detection,library:json-api-array-add-failure:fault
library	msxml-value-metadata-array-add-failure	library:msxml-value-metadata-array-add-failure:complete,library:msxml-value-metadata-array-add-failure:late-detection,library:msxml-value-metadata-array-add-failure:fault
library	indicator-metadata-object-id-record-failure	library:indicator-metadata-object-id-record-failure:complete,library:indicator-metadata-object-id-record-failure:late-detection,library:indicator-metadata-object-id-record-failure:fault
library	indicator-metadata-array-append-failure	library:indicator-metadata-array-append-failure:complete,library:indicator-metadata-array-append-failure:late-detection,library:indicator-metadata-array-append-failure:fault
library	indicator-metadata-property-add-failure	library:indicator-metadata-property-add-failure:complete,library:indicator-metadata-property-add-failure:late-detection,library:indicator-metadata-property-add-failure:fault
library	indicator-evidence-add-failure	library:indicator-evidence-add-failure:complete,library:indicator-evidence-add-failure:late-detection,library:indicator-evidence-add-failure:fault
library	pdf-derived-object-metadata-failure	library:pdf-derived-object-metadata-failure:complete,library:pdf-derived-object-metadata-failure:late-detection,library:pdf-derived-object-metadata-failure:fault
library	trusted-indicator-ignored-metadata-failure	library:trusted-indicator-ignored-metadata-failure:complete,library:trusted-indicator-ignored-metadata-failure:late-detection,library:trusted-indicator-ignored-metadata-failure:fault
library	nested-indicator-metadata-array-copy-failure	library:nested-indicator-metadata-array-copy-failure:complete,library:nested-indicator-metadata-array-copy-failure:late-detection,library:nested-indicator-metadata-array-copy-failure:fault
library	nested-indicator-metadata-object-add-failure	library:nested-indicator-metadata-object-add-failure:complete,library:nested-indicator-metadata-object-add-failure:late-detection,library:nested-indicator-metadata-object-add-failure:fault
library	nested-evidence-merge-failure	library:nested-evidence-merge-failure:complete,library:nested-evidence-merge-failure:late-detection,library:nested-evidence-merge-failure:fault
library	nested-layer-metadata-array-add-failure	library:nested-layer-metadata-array-add-failure:complete,library:nested-layer-metadata-array-add-failure:late-detection,library:nested-layer-metadata-array-add-failure:fault
library	pe-heuristic-metadata-array-add-failure	library:pe-heuristic-metadata-array-add-failure:complete,library:pe-heuristic-metadata-array-add-failure:late-detection,library:pe-heuristic-metadata-array-add-failure:fault
library	pe-metadata-property-add-failure	library:pe-metadata-property-add-failure:complete,library:pe-metadata-property-add-failure:late-detection,library:pe-metadata-property-add-failure:fault
library	json-api-object-add-failure	library:json-api-object-add-failure:complete,library:json-api-object-add-failure:late-detection,library:json-api-object-add-failure:fault
library	scan-report-json-object-add-failure	library:scan-report-json-object-add-failure:complete,library:scan-report-json-object-add-failure:late-detection,library:scan-report-json-object-add-failure:fault
library	mime-metadata-write-visibility	library:mime-metadata-write-visibility:complete,library:mime-metadata-write-visibility:late-detection,library:mime-metadata-write-visibility:fault
library	xdp-sticky-completion	library:xdp-sticky-completion:complete,library:xdp-sticky-completion:late-detection,library:xdp-sticky-completion:fault
library	pe-icon-sticky-completion	library:pe-icon-sticky-completion:complete,library:pe-icon-sticky-completion:late-detection,library:pe-icon-sticky-completion:fault
library	dmg-sticky-completion	library:dmg-sticky-completion:complete,library:dmg-sticky-completion:late-detection,library:dmg-sticky-completion:fault
library	pe-sticky-completion	library:pe-sticky-completion:complete,library:pe-sticky-completion:late-detection,library:pe-sticky-completion:fault
library	tar-sticky-completion	library:tar-sticky-completion:complete,library:tar-sticky-completion:late-detection,library:tar-sticky-completion:fault
library	arj-header-sticky-completion	library:arj-header-sticky-completion:complete,library:arj-header-sticky-completion:late-detection,library:arj-header-sticky-completion:fault
library	nsis-sticky-completion	library:nsis-sticky-completion:complete,library:nsis-sticky-completion:late-detection,library:nsis-sticky-completion:fault
library	mspack-sticky-completion	library:mspack-sticky-completion:complete,library:mspack-sticky-completion:late-detection,library:mspack-sticky-completion:fault
library	macho-unibin-sticky-completion	library:macho-unibin-sticky-completion:complete,library:macho-unibin-sticky-completion:late-detection,library:macho-unibin-sticky-completion:fault
library	ishield-sticky-completion	library:ishield-sticky-completion:complete,library:ishield-sticky-completion:late-detection,library:ishield-sticky-completion:fault
library	ishield-extraction-status	library:ishield-extraction-status:complete,library:ishield-extraction-status:late-detection,library:ishield-extraction-status:fault
library	autoit-sticky-completion	library:autoit-sticky-completion:complete,library:autoit-sticky-completion:late-detection,library:autoit-sticky-completion:fault
