category	file	line	text
fixed-width-integer	clamav-milter/clamav-milter.c	403	    if (!clamfi_normalize_maxfilesize((uint64_t)optget(opts, "MaxFileSize")->numarg, &maxfilesize)) {
fixed-width-integer	clamav-milter/clamav-milter.c	411	    maxtemporarysize = (uint64_t)optget(opts, "MaxTemporarySize")->numarg;
fixed-width-integer	clamav-milter/clamfi.c	100	    uint32_t sendme;
fixed-width-integer	clamav-milter/clamfi.c	170	    uint64_t next_size;
fixed-width-integer	clamav-milter/clamfi.c	241	            uint32_t sendmetoo;
fixed-width-integer	clamav-milter/clamfi.c	246	                uint32_t chunk = len > UINT32_MAX ? UINT32_MAX : (uint32_t)len;
fixed-width-integer	clamav-milter/clamfi.c	392	        uint32_t sendmetoo = 0;
fixed-width-integer	clamav-milter/clamfi.c	56	uint64_t maxfilesize;
fixed-width-integer	clamav-milter/clamfi.c	57	uint64_t maxtemporarysize;
fixed-width-integer	clamav-milter/clamfi.c	90	    uint64_t totsz;
fixed-width-integer	clamav-milter/clamfi.h	29	extern uint64_t maxfilesize;
fixed-width-integer	clamav-milter/clamfi.h	30	extern uint64_t maxtemporarysize;
fixed-width-integer	clamav-milter/clamfi_quota.c	11	int clamfi_normalize_maxfilesize(uint64_t configured, uint64_t *effective)
fixed-width-integer	clamav-milter/clamfi_quota.c	26	enum clamfi_quota_result clamfi_quota_add(uint64_t current, uint64_t limit, size_t requested, uint64_t *next)
fixed-width-integer	clamav-milter/clamfi_quota.c	28	    uint64_t requested64 = (uint64_t)requested;
fixed-width-integer	clamav-milter/clamfi_quota.h	18	int clamfi_normalize_maxfilesize(uint64_t configured, uint64_t *effective);
fixed-width-integer	clamav-milter/clamfi_quota.h	19	enum clamfi_quota_result clamfi_quota_add(uint64_t current, uint64_t limit, size_t requested, uint64_t *next);
fixed-width-integer	clamav-milter/netcode.c	344	static int nc_recv_scan_report_frame(int s, char **json, uint32_t *json_length, int *terminated)
fixed-width-integer	clamav-milter/netcode.c	346	    uint32_t network_length;
fixed-width-integer	clamav-milter/netcode.c	347	    uint32_t length;
fixed-width-integer	clamav-milter/netcode.c	393	        uint32_t json_length = 0;
fixed-width-integer	clamav-milter/netcode.c	493	static int resolve(char *name, uint32_t *family, uint32_t *host)
fixed-width-integer	clamav-milter/netcode.c	520	        uint32_t u = 0;
fixed-width-integer	clamav-milter/netcode.c	542	    uint32_t nmask;
fixed-width-integer	clamav-milter/netcode.c	583	static int islocalnet(uint32_t family, uint32_t *host)
fixed-width-integer	clamav-milter/netcode.c	600	    uint32_t host[4], family;
fixed-width-integer	clamav-milter/netcode.c	612	    uint32_t host[4] = {0};
fixed-width-integer	clamav-milter/netcode.c	613	    uint32_t family;
fixed-width-integer	clamav-milter/netcode.c	625	        uint32_t u = 0;
fixed-width-integer	clamav-milter/netcode.c	70	    uint32_t basehost[4];
fixed-width-integer	clamav-milter/netcode.c	71	    uint32_t mask[4];
fixed-width-integer	clamav-milter/netcode.c	72	    uint32_t family;
fixed-width-integer	clambc/bcrun.c	134	static void tracehook_val(struct cli_bc_ctx *ctx, const char *name, uint32_t value)
fixed-width-integer	clambc/bcrun.c	188	static uint32_t deadbeefcounts[64] = {
fixed-width-integer	clambc/bcrun.c	255	static int parse_uint64_arg(const char *text, uint64_t *value)
fixed-width-integer	clambc/bcrun.c	274	    *value = (uint64_t)parsed;
fixed-width-integer	clambc/bcrun.c	285	    uint64_t parsed_arg;
fixed-width-integer	clambc/bcrun.c	286	    uint64_t match_offsets64[64];
fixed-width-integer	clambc/bcrun.c	529	            uint64_t v;
fixed-width-integer	clambc/bcrun.c	85	    uint32_t scopeid;
fixed-width-integer	clamd/clamd.c	455	            uint64_t lim = rlim.rlim_cur;
fixed-width-integer	clamd/clamd_others.h	62	    uint32_t chunksize;
fixed-width-integer	clamd/clamd_others.h	63	    uint64_t quota;
fixed-width-integer	clamd/clamd_others.h	64	    uint64_t stream_bytes;
fixed-width-integer	clamd/clamd_others.h	87	static inline size_t clamd_stream_chunk_length(size_t pos, size_t off, uint32_t chunksize)
fixed-width-integer	clamd/clamd_others.h	95	    return ((uint64_t)chunksize < (uint64_t)available) ? (size_t)chunksize : available;
fixed-width-integer	clamd/largefile_admission.c	100	    uint64_t actual,
